-10,1,1,4,-8,-29,11,6
8,9,-3,1,1,-1,5,-18
4,10,-3,-7,4,6,-15,29
9,20,8,2,3,-1,-3,-21
-6,-15,22,0,4,13,14,26
-10,-16,-22,-3,-11,-9,13,-5
-6,10,7,0,-4,-22,-36,-2
5,6,6,-1,-4,-11,-6,-3
5,-18,-6,-1,4,6,6,12
-5,0,-3,-2,2,4,26,-3
2,-6,-6,-1,3,10,-10,1
-11,-41,-16,-7,-4,-16,-13,-23
1,4,-12,1,5,3,-11,-4
-2,-6,-4,-8,-9,21,-36,4
-4,-3,-2,-6,-1,-21,40,-25
-8,-22,-12,-2,-3,-21,4,-3
3,7,5,2,4,7,46,5
-1,12,12,4,-1,-31,-39,-10
0,4,10,2,-1,30,-50,-13
-2,-35,-23,-1,-5,-7,28,18
9,50,29,0,0,-2,-7,13
-6,-4,-15,2,12,27,24,-11
-13,0,1,5,-20,-46,14,17
2,12,1,-3,1,3,-46,-92
17,-31,-11,-5,4,20,0,94
-3,1,18,2,5,43,29,31
3,-1,-5,-4,3,5,-24,-31
-5,-28,-15,0,-6,4,13,12
-8,19,-3,0,-3,-8,-3,-27
1,-2,6,-2,-5,-22,-24,-18
-3,-8,-17,-7,-4,11,41,9
-1,12,15,5,4,3,-15,1
-2,-73,-31,-12,-8,14,-23,-12
4,63,13,-2,6,-10,-10,15
-1,13,60,8,5,0,-7,-19
-6,-9,-39,-7,0,25,27,30
-11,12,2,10,-5,-53,42,-12
13,-10,-2,-3,-3,-19,-81,35
-3,-5,-9,-3,-3,4,60,-27
-3,-11,20,-4,4,15,-89,1
5,18,6,-9,-1,-11,-3,-15
15,-14,-14,1,-4,-15,18,-12
10,9,-44,-14,0,-5,13,21
-7,15,104,24,3,-13,41,-19
-13,-11,-39,-7,-7,-2,-3,-97
5,11,2,11,-3,56,20,65
-20,-34,-16,-13,1,-55,-81,7
3,5,-19,0,-5,13,19,20
-2,-2,8,0,8,-17,37,-4
-7,8,12,3,0,-8,-33,-119
22,28,-5,2,-8,22,-42,112
-6,49,-13,-7,-5,12,85,49
10,-52,15,1,3,-7,-104,6
-20,-1,-19,-8,-9,54,-85,-55
11,34,3,10,1,-30,122,40
2,32,6,-2,8,-11,-110,44
-23,-9,-11,3,-6,106,127,1
15,33,13,2,-15,-30,-57,-24
2,-28,2,-9,10,68,39,-8
1,17,-11,-1,-4,-63,32,23
3,-17,-1,-8,-28,19,-61,37
-28,-17,7,15,7,-31,109,-53
13,44,-11,9,1,24,77,-41
-11,14,3,1,-5,13,53,-89
18,-19,-6,-2,21,-6,-83,52
-19,-61,-7,-29,-25,-32,108,-84
14,23,-11,6,11,-87,43,13
30,-9,13,6,-24,-34,11,33
-24,3,6,-14,-3,-128,-8,-128
23,12,-3,8,15,24,57,127
-35,-98,-5,-23,5,-71,22,-128
12,18,-22,17,-10,-46,69,67
-53,34,4,-3,-6,6,-75,43
5,-15,-32,-1,26,72,9,24
44,58,32,14,-14,-13,64,49
-16,-54,-37,-15,-27,-46,-112,-14
34,-40,20,15,13,36,-12,80
-10,7,-20,-32,-22,2,-121,45
-24,35,11,15,8,81,-128,-37
-11,-60,-3,-1,25,44,123,-38
-4,47,-2,-14,-24,-59,-36,-8
11,-60,4,4,-4,-45,97,46
3,49,-7,1,-19,-10,51,0
9,6,-1,-7,-9,-84,-103,33
-17,-47,-3,-3,20,77,105,-118
-10,18,6,13,-1,-56,68,63
-9,-56,0,-2,3,-41,-34,24
-19,-41,-8,-5,-8,28,62,-12
21,22,-1,14,13,-73,15,40
0,12,2,-19,-15,-35,14,38
6,-16,9,2,3,-103,-71,96
-16,-46,4,-3,-7,76,41,-77
16,6,-25,3,8,-30,34,-63
13,-23,21,-4,-3,-49,-60,-23
25,-1,8,5,11,73,16,-62
34,110,12,5,22,44,-91,-79
-1,14,5,-10,15,39,14,12
-20,20,4,9,10,28,-128,-101
-4,-66,-31,2,-3,80,3,-8
-1,29,18,4,20,69,112,3
-5,-20,35,5,-9,-17,-30,-48
12,28,-5,9,3,48,6,52
-5,-7,-31,-4,-17,24,31,97
19,81,28,-6,5,-128,17,-7
-18,-31,-20,-3,13,113,26,-1
10,0,4,6,-5,32,53,26
-14,-1,1,9,14,-30,75,-87
16,-77,1,-20,-28,4,55,-6
9,61,-27,-1,-6,48,-31,-49
-14,51,44,8,16,-72,127,-60
-12,-58,-6,-1,-13,-3,52,49
-18,35,-5,-8,11,-45,-78,115
26,-43,-12,-14,-22,-101,-58,55
0,-10,-13,6,-5,8,-25,-22
-17,-47,3,-13,12,-58,-114,-70
-45,-2,-26,-8,4,-26,29,-77
6,-12,16,21,24,100,127,79
2,22,-4,-3,-3,110,-128,77
-10,46,6,0,-3,40,55,60
6,-56,-19,1,0,22,-42,5
-8,20,4,3,-4,20,42,31
5,12,-12,4,-11,-7,15,-85
35,37,6,0,11,61,-20,-104
-14,22,-3,-3,6,-10,-24,-45
-10,34,8,6,-2,-52,127,88
-28,-21,18,-1,-9,-40,127,-69
-6,-43,-28,-2,12,44,51,41
13,-86,4,-11,-30,15,-78,-119
11,71,-2,1,8,-47,-76,34
-7,32,-7,-10,8,-9,32,-72
-11,-52,11,0,5,49,-47,-14
7,39,-9,0,12,-28,49,51
-13,-66,-9,-4,-21,-1,-82,46
9,9,-1,6,5,39,13,47
-3,9,-7,-13,3,-28,-70,71
2,-19,-2,-4,12,-31,-7,-67
0,-18,-7,-6,-27,0,56,-50
0,-45,-16,-9,5,-17,-45,-28
-3,69,21,0,-6,10,-42,51
5,-52,-15,-4,2,63,-23,1
-23,-41,-11,4,6,4,94,-20
23,41,23,5,2,15,87,9
-11,-20,-4,-7,-29,-43,96,-15
0,39,-14,5,-8,-46,38,110
2,-54,-3,-10,-12,-55,-42,-69
17,-25,-11,-3,-14,-93,-15,97
-23,-7,-2,-10,-10,-19,-33,-87
-21,-77,-21,-2,-9,-15,106,26
27,83,35,4,-5,-52,-9,-15
6,-44,-15,1,-4,-23,46,48
13,55,8,8,9,61,40,34
9,36,6,1,-6,-72,-128,46
-2,-3,-25,-2,19,55,120,65
-30,-76,-9,-18,-14,-15,-37,-81
34,92,54,1,-2,56,-102,70
-12,32,-10,13,5,82,127,63
-10,-60,11,-4,-15,-20,-53,9
-9,-30,-10,-2,30,-37,113,-28
-3,-20,-14,-7,-43,-71,-40,-116
4,1,16,-5,-1,-31,18,-9
-11,63,-9,-2,-10,56,-28,-128
9,50,15,9,10,26,73,19
-11,-84,-15,-5,-4,-86,72,-105
3,-27,-31,-9,4,-13,-82,-26
-8,26,23,3,-7,12,64,63
-6,19,-11,0,-8,69,16,-21
-4,10,-8,0,15,-51,48,36
10,12,-21,-6,-10,-12,-13,23
8,39,16,-2,12,-61,-47,58
2,-47,-2,2,2,40,-73,-44
-10,44,-1,3,28,-3,31,52
-5,14,12,0,-24,-46,-41,-44
14,-27,-19,7,8,-6,0,59
