-35,4,6,-27,-15,0,3,-32,-49,-28
-50,-8,-45,-76,-40,-35,-38,-12,-81,-62
-52,-6,-43,-54,-35,-23,36,24,-10,-80
-52,-47,-49,-55,-27,-15,13,108,-130,-63
-52,-55,-7,-12,-1,27,42,151,121,-24
-34,-52,5,5,-5,-4,-34,46,149,-7
-39,-40,13,82,4,1,-21,-74,57,19
-33,-66,-10,129,2,-28,-113,-154,-265,46
16,25,31,84,48,11,-69,-165,122,75
48,25,2,-46,24,-1,-78,-98,108,68
69,98,16,-28,10,29,5,-71,157,0
59,80,-1,-43,-28,-24,-69,-35,-20,-28
50,55,15,-6,-16,-11,-91,24,67,1
17,36,6,-10,0,-22,-99,32,-59,0
-53,19,18,-2,-2,6,44,45,16,1
-75,-31,-13,-41,-33,-4,80,56,-135,-1
-31,-10,8,3,-9,35,178,66,-2,10
41,-30,-2,10,9,-4,34,26,-28,22
39,-13,16,39,24,20,-3,-3,108,26
10,-45,-8,7,-4,-23,-50,8,-52,1
49,-30,-11,3,-25,-21,-2,-13,45,-5
45,-51,-40,-26,-19,-11,-13,-40,-83,-20
41,-17,-14,0,17,65,73,-2,18,9
30,-40,-41,-17,9,51,5,17,-128,25
19,2,-8,9,18,39,16,22,26,18
-43,-16,2,-14,10,-24,-50,39,-12,-13
-60,17,9,-9,3,-14,43,54,76,-49
-62,-6,-29,-51,-35,-39,86,3,-198,-86
-20,26,2,-17,-11,-2,115,-2,-63,-69
3,-3,-12,-24,-10,-2,33,29,-41,1
9,-25,-15,-24,-13,6,9,18,266,76
55,-27,18,7,14,-2,-118,-54,86,90
85,97,119,102,77,7,-179,-116,122,81
34,100,88,68,50,-14,-161,-78,42,38
-28,33,23,22,7,2,-6,-26,51,-36
-51,-68,-47,-37,-48,-45,0,0,-121,-78
-50,-56,-47,-21,-49,-16,71,69,0,-48
-39,-27,-55,-33,-25,-3,62,112,-40,8
-19,20,-6,13,22,22,78,155,77,22
-20,-8,-5,9,16,-12,15,140,-137,-1
-5,25,16,25,23,6,36,-4,-32,7
0,25,-3,3,20,-6,-25,-145,-29,-10
-9,22,-19,-1,1,10,33,-151,71,-33
16,-46,-67,-57,-48,-32,1,-74,-98,-27
8,-62,-52,-44,-38,-13,24,-44,-8,0
47,-45,-27,-33,-38,-21,-21,-13,-36,0
38,27,32,30,0,3,14,110,99,11
-10,17,33,28,21,-5,-37,210,-52,19
-3,5,50,55,39,11,1,166,-28,47
14,2,-3,-2,2,-6,-40,32,-35,-5
4,44,-5,-28,-16,0,-27,-120,133,-34
-5,24,-13,-58,-33,-12,-211,-296,-46,-40
22,48,48,21,25,73,-206,-259,-21,2
45,11,67,52,67,61,-46,-102,-188,59
10,25,53,48,67,44,251,-22,108,19
-26,-35,-25,-38,-9,-7,304,4,0,-30
-39,-20,-30,-51,-40,-23,79,-42,58,-31
-28,-32,-29,-56,-44,-45,-107,-23,-127,10
-27,19,-18,-19,-34,-18,-48,35,45,-1
-22,31,-48,-50,-57,-44,-78,83,41,-20
-18,32,-31,-25,-29,-1,31,138,143,0
-25,-25,-25,3,-12,5,40,127,-63,-15
-11,12,24,101,25,41,81,113,-15,-29
20,21,22,116,39,26,25,50,-76,-18
11,1,21,38,36,13,4,-92,-74,14
12,-36,-14,-77,1,-50,-101,-127,-173,22
10,18,15,-21,-2,-23,-19,-66,144,1
-13,-14,-4,-9,-15,-10,-17,11,29,-12
-35,-15,7,6,7,35,46,59,105,-29
